customer_id,first_name,last_name,age,city,state,member_since
1,Sophia,Johnson,63,Boston,MA,2021-07-17
2,Lucas,Rodriguez,63,San Diego,CA,2020-07-28
3,Ellie,Wright,21,Portland,OR,2023-04-24
4,Noah,Johnson,21,Columbus,OH,2021-03-23
5,Leo,Hill,17,San Diego,CA,2023-02-23
6,Aubrey,Adams,60,San Antonio,TX,2023-01-21
7,Lucas,Lewis,53,Columbus,OH,2021-07-23
8,Gabriel,Hernandez,60,New York,NY,2022-05-15
9,Harper,Martinez,29,Austin,TX,2021-11-20
10,Ava,Harris,22,Houston,TX,2022-01-05
11,Hudson,Taylor,67,Jacksonville,FL,2020-03-29
12,Layla,Wright,23,Atlanta,GA,2022-02-14
13,Lily,Jackson,69,Chicago,IL,2023-07-11
14,Camila,Torres,28,Nashville,TN,2023-12-13
15,Noah,Nelson,30,Chicago,IL,2021-08-15
16,Lucas,Miller,40,Chicago,IL,2021-07-23
17,Mateo,White,26,Charlotte,NC,2022-01-28
18,Charlotte,Nelson,33,Jacksonville,FL,2023-12-08
19,Lillian,Jones,54,Portland,OR,2023-07-24
20,Julian,Campbell,31,Philadelphia,PA,2020-11-30
21,Aiden,Moore,56,Charlotte,NC,2023-11-10
22,Lucas,Baker,36,Seattle,WA,2020-04-24
23,Noah,Lee,41,San Diego,CA,2021-07-02
24,Charlotte,Torres,72,Chicago,IL,2021-10-06
25,Lillian,Young,41,San Antonio,TX,2023-08-09
26,Isabella,Taylor,24,Charlotte,NC,2021-05-20
27,Lily,Wright,32,Atlanta,GA,2023-04-12
28,Eleanor,Sanchez,39,Columbus,OH,2021-03-25
29,Leo,Young,21,Phoenix,AZ,2020-04-06
30,Isabella,Green,26,Houston,TX,2023-10-25
31,Hudson,Jones,40,Columbus,OH,2022-02-20
32,Layla,King,32,Nashville,TN,2023-02-07
33,Addison,Campbell,23,New York,NY,2023-10-28
34,Gabriel,Moore,65,Seattle,WA,2023-08-05
35,Sophia,Jackson,43,Austin,TX,2020-11-19
36,Liam,Campbell,72,Charlotte,NC,2021-06-23
37,Gabriel,Lopez,48,San Francisco,CA,2020-08-05
38,Evelyn,Green,48,Boston,MA,2023-06-01
39,Isabella,White,64,San Antonio,TX,2020-11-26
40,Stella,King,16,Seattle,WA,2023-05-11
41,Zoey,Johnson,23,Austin,TX,2022-01-13
42,Amelia,Brown,31,San Jose,CA,2023-03-07
43,Ava,Campbell,47,Chicago,IL,2020-05-21
44,Julian,Roberts,24,Minneapolis,MN,2020-09-19
45,Dylan,Scott,26,Portland,OR,2021-06-26
46,Hudson,Ramirez,29,San Francisco,CA,2023-01-09
47,Logan,Hall,28,Minneapolis,MN,2023-12-31
48,Penelope,Nelson,57,San Jose,CA,2022-02-03
49,Nora,Lewis,23,Charlotte,NC,2021-05-22
50,Oliver,Perez,17,San Diego,CA,2023-04-19
51,Lucas,Nguyen,30,Seattle,WA,2020-01-15
52,Aubrey,Green,19,Chicago,IL,2021-04-13
53,Noah,Perez,20,Chicago,IL,2022-11-18
54,Harper,Nelson,47,San Diego,CA,2021-03-14
55,Elijah,Campbell,72,Seattle,WA,2023-03-15
56,Dylan,Thomas,66,Denver,CO,2022-08-26
57,Henry,Miller,22,Columbus,OH,2023-09-11
58,Sebastian,Ramirez,42,Columbus,OH,2022-08-14
59,Emma,Baker,57,Atlanta,GA,2023-08-16
60,Emma,Sanchez,62,Houston,TX,2021-11-25
61,Amelia,Gonzalez,28,Houston,TX,2023-01-03
62,Elijah,Ramirez,27,Charlotte,NC,2021-07-24
63,Amelia,Jones,44,Charlotte,NC,2023-02-01
64,Emma,Adams,50,Houston,TX,2020-01-31
